ph,temperature,humidity,flow,turbidity,tds,biofilm_risk_percent,biofilm_formation_label
7.02,24.6,60.53,50.97,498.47,211.93,54.82,MEDIUM
7.04,24.14,60.06,52.0,743.39,258.08,57.28,MEDIUM
7.04,23.87,60.68,52.26,758.34,268.24,57.33,MEDIUM
7.01,24.0,59.97,50.86,728.78,272.36,57.75,MEDIUM
7.04,23.59,60.83,52.38,720.66,319.24,57.28,MEDIUM
7.03,24.01,61.54,53.98,714.57,334.31,57.31,MEDIUM
7.05,23.59,61.39,54.16,672.2,254.26,55.39,MEDIUM
7.03,23.4,60.42,55.35,686.05,315.84,55.91,MEDIUM
7.01,23.61,61.01,56.22,730.41,326.3,56.57,MEDIUM
6.97,23.3,61.86,56.71,772.19,319.47,56.45,MEDIUM
6.93,23.01,61.23,55.49,773.56,318.48,56.31,MEDIUM
6.97,22.94,61.2,54.76,804.26,359.54,57.61,MEDIUM
6.93,22.76,61.48,53.89,775.79,269.52,56.08,MEDIUM
6.95,22.56,62.47,54.83,801.65,289.33,56.31,MEDIUM
7.0,22.71,62.13,56.24,761.68,271.54,55.64,MEDIUM
6.98,22.43,62.38,56.9,754.7,286.9,55.21,MEDIUM
6.97,22.16,62.5,58.59,726.79,289.19,54.21,MEDIUM
6.93,22.34,63.5,58.35,708.33,289.84,53.97,MEDIUM
6.9,22.12,64.32,59.34,678.43,293.16,52.98,MEDIUM
6.85,21.73,64.89,57.91,647.88,254.7,52.02,MEDIUM
6.88,22.03,63.99,56.22,631.83,278.83,53.08,MEDIUM
6.9,22.32,64.76,57.78,660.8,248.67,52.87,MEDIUM
6.9,22.08,64.83,57.75,626.21,294.8,52.92,MEDIUM
6.89,21.88,64.36,58.11,582.68,253.78,51.62,MEDIUM
6.86,22.34,64.94,59.44,571.11,195.34,50.53,MEDIUM
6.84,21.97,64.64,61.35,546.48,172.91,48.99,MEDIUM
6.86,22.04,64.74,59.41,528.43,233.05,50.28,MEDIUM
6.85,21.84,63.83,58.02,491.33,181.8,49.47,MEDIUM
6.82,21.71,64.55,59.72,522.17,174.9,48.91,MEDIUM
6.82,21.86,64.41,60.97,515.91,250.06,49.49,MEDIUM
6.78,21.92,65.17,59.69,527.93,165.66,48.79,MEDIUM
6.76,21.43,64.69,57.9,503.09,182.42,48.78,MEDIUM
6.77,21.77,64.07,58.32,510.28,239.42,49.72,MEDIUM
6.78,21.45,63.5,56.42,509.83,246.76,50.19,MEDIUM
6.79,21.5,62.7,55.97,557.98,233.92,50.85,MEDIUM
6.79,21.56,62.39,57.63,549.88,197.84,49.83,MEDIUM
6.75,21.54,62.57,59.26,586.73,227.26,49.81,MEDIUM
6.77,21.5,62.51,57.94,621.52,279.89,51.37,MEDIUM
6.81,21.62,63.01,59.56,588.18,279.33,50.85,MEDIUM
6.77,21.81,63.95,59.26,632.55,301.34,51.56,MEDIUM
6.74,21.77,64.47,58.87,675.18,302.53,51.92,MEDIUM
6.69,21.71,63.68,59.37,671.92,225.43,50.46,MEDIUM
6.67,21.86,64.62,61.13,702.25,283.62,50.88,MEDIUM
6.64,21.4,64.84,61.3,705.56,259.76,50.09,MEDIUM
6.61,21.0,65.05,60.77,698.1,251.3,49.61,MEDIUM
6.63,20.59,65.21,61.31,705.42,280.05,49.72,MEDIUM
6.67,20.34,65.15,62.5,712.3,313.52,49.9,MEDIUM
6.66,20.02,66.03,62.58,727.25,335.88,50.0,MEDIUM
6.66,20.1,66.9,62.89,776.02,265.83,49.66,MEDIUM
6.66,19.78,65.96,61.0,784.15,306.77,50.59,MEDIUM
6.7,19.83,66.12,59.73,822.1,365.55,52.42,MEDIUM
6.7,19.76,65.53,60.3,804.84,342.53,51.7,MEDIUM
6.74,20.15,65.06,60.82,776.16,281.22,51.05,MEDIUM
6.72,19.74,64.23,62.11,790.07,338.75,51.11,MEDIUM
6.72,19.93,64.62,63.65,751.65,315.24,50.05,MEDIUM
6.74,19.67,64.2,64.21,752.71,295.01,49.59,MEDIUM
6.78,19.55,64.4,64.62,1043.14,386.22,53.93,MEDIUM
6.79,19.11,65.02,64.41,1005.31,445.32,54.07,MEDIUM
6.81,19.0,65.84,65.02,1051.27,432.1,54.28,MEDIUM
6.8,19.11,65.8,65.3,1004.24,385.89,53.15,MEDIUM
6.82,19.22,65.96,64.6,1043.16,388.37,54.01,MEDIUM
6.83,19.34,66.68,64.88,1081.7,478.46,55.58,MEDIUM
6.83,19.27,67.23,66.12,1222.64,460.11,56.52,MEDIUM
6.88,18.99,67.36,66.01,1203.85,519.2,57.16,MEDIUM
6.83,18.93,67.97,64.61,1226.21,443.77,56.57,MEDIUM
6.86,19.19,68.45,65.41,1239.07,543.8,58.07,MEDIUM
6.85,18.7,67.95,63.42,1274.46,539.94,58.57,MEDIUM
6.89,18.85,67.14,63.51,1285.68,519.49,58.81,MEDIUM
6.89,18.87,66.53,63.77,1252.2,483.06,57.9,MEDIUM
6.84,18.89,66.26,63.13,1260.13,474.39,57.78,MEDIUM
6.8,18.52,66.87,63.72,1237.7,539.44,57.6,MEDIUM
6.81,18.76,67.46,64.73,1251.25,457.16,56.72,MEDIUM
6.77,18.32,66.6,63.28,1242.17,468.14,56.62,MEDIUM
6.78,18.67,67.48,62.34,1196.83,469.55,56.72,MEDIUM
6.75,18.29,66.68,62.01,1188.05,511.79,56.79,MEDIUM
6.8,18.74,66.15,62.3,1199.97,458.02,56.81,MEDIUM
6.79,18.35,66.25,63.61,1207.5,474.21,56.35,MEDIUM
6.78,18.67,66.66,65.43,1324.07,572.29,58.44,MEDIUM
6.83,18.9,67.38,64.21,1368.0,545.51,59.42,MEDIUM
6.81,19.32,67.22,63.12,1380.83,554.58,60.16,HIGH
6.78,19.09,66.3,84.41,1384.83,524.14,53.08,MEDIUM
6.75,19.59,66.88,85.58,1337.51,495.73,52.02,MEDIUM
6.76,19.73,67.09,87.06,1293.96,495.54,51.31,MEDIUM
6.76,19.25,67.71,85.63,1329.79,485.64,51.68,MEDIUM
6.74,19.51,68.28,84.91,1292.27,476.21,51.39,MEDIUM
6.74,19.35,68.99,83.21,1279.22,532.25,52.34,MEDIUM
6.73,19.42,68.36,83.11,1261.02,537.75,52.2,MEDIUM
6.77,19.01,69.12,84.38,1269.97,509.69,51.57,MEDIUM
6.8,19.05,68.56,85.6,1223.72,529.34,51.13,MEDIUM
6.78,19.42,69.31,86.55,1187.28,481.71,50.05,MEDIUM
6.81,19.76,68.51,87.66,1211.55,460.07,50.16,MEDIUM
6.86,19.86,69.44,87.03,1260.4,497.0,51.69,MEDIUM
6.89,19.74,68.97,85.73,1234.14,533.56,52.36,MEDIUM
6.88,20.03,68.84,87.46,1550.75,587.07,56.09,MEDIUM
6.92,19.89,67.92,88.52,1557.41,586.14,56.0,MEDIUM
6.9,20.16,67.98,87.44,1561.25,629.13,56.96,MEDIUM
6.9,20.21,68.32,85.62,1594.84,683.37,58.53,MEDIUM
6.95,20.13,67.45,83.7,1557.79,612.35,58.1,MEDIUM
6.92,19.64,67.92,83.65,1526.69,594.55,57.07,MEDIUM
6.94,20.13,68.01,82.26,1525.77,641.49,58.49,MEDIUM
6.9,19.93,68.76,80.8,1540.09,645.32,58.76,MEDIUM
6.93,19.66,69.66,82.12,1588.62,681.24,59.29,MEDIUM
6.9,19.35,69.73,83.63,1589.2,653.33,58.13,MEDIUM
6.94,18.98,70.38,82.36,2037.82,815.09,64.94,HIGH
6.94,19.41,69.41,84.3,2051.24,813.65,64.68,HIGH
6.96,19.69,68.75,83.42,2006.06,755.08,64.58,HIGH
7.0,20.02,68.37,83.73,2012.7,796.22,65.42,HIGH
7.04,20.19,67.46,83.92,2062.0,823.19,65.56,HIGH
7.06,20.47,66.49,82.27,2035.79,829.27,66.18,HIGH
7.07,20.76,65.82,83.62,2373.43,977.47,67.73,HIGH
7.1,21.13,65.94,84.69,2412.45,925.34,66.84,HIGH
7.13,20.82,65.88,83.72,2380.66,914.83,66.59,HIGH
7.17,20.67,65.5,84.56,2381.91,979.77,66.76,HIGH
7.17,20.9,64.79,83.9,2402.79,983.67,67.13,HIGH
7.13,20.77,64.59,82.9,2393.95,994.47,67.72,HIGH
7.13,20.85,64.97,84.59,2416.39,921.78,66.41,HIGH
7.15,20.59,65.49,84.79,2445.85,955.36,66.43,HIGH
7.11,20.9,66.07,86.78,2419.8,948.76,66.28,HIGH
7.09,21.38,65.29,88.49,2380.49,955.83,66.31,HIGH
7.04,21.17,65.03,88.73,2376.03,949.93,66.3,HIGH
7.09,21.6,64.35,87.47,2377.0,906.39,66.16,HIGH
7.07,21.69,64.68,88.49,2357.51,968.38,66.77,HIGH
7.07,21.7,65.58,90.25,2319.18,887.28,65.33,HIGH
7.04,22.18,66.54,90.51,2296.72,915.59,66.11,HIGH
7.07,22.29,67.21,92.46,2300.21,907.53,65.31,HIGH
7.03,22.13,66.56,92.65,2307.78,876.83,65.05,HIGH
7.06,22.28,67.33,92.71,2311.5,901.41,65.18,HIGH
7.09,22.56,67.64,92.78,2359.85,941.7,65.63,HIGH
7.12,22.73,68.04,93.71,2378.68,918.7,65.05,HIGH
7.16,22.96,68.56,94.01,2399.52,1009.64,65.81,HIGH
7.16,22.53,68.72,93.78,2358.65,947.69,64.97,HIGH
7.17,22.59,69.53,94.2,2400.9,1001.65,65.46,HIGH
7.12,22.15,69.08,95.26,2430.09,926.59,64.22,HIGH
7.11,22.34,68.77,95.38,2449.27,966.21,64.88,HIGH
7.08,22.26,68.09,96.34,2419.43,995.27,65.12,HIGH
7.04,22.71,68.14,96.86,2388.81,985.5,65.41,HIGH
7.0,22.47,68.7,96.57,2765.01,1142.42,65.73,HIGH
6.96,22.56,69.15,97.51,2741.21,1135.78,65.25,HIGH
6.96,22.65,68.23,97.63,2714.2,1098.72,65.28,HIGH
6.94,22.7,67.74,24.32,2938.68,1221.56,87.2,HIGH
6.91,22.83,67.14,25.06,3000.0,1369.55,86.87,HIGH
6.87,22.8,66.5,25.72,2970.05,1225.81,86.36,HIGH
6.88,22.95,66.72,26.08,3000.0,1176.76,86.47,HIGH
6.84,23.23,67.52,24.86,2952.82,1162.11,86.77,HIGH
6.84,22.84,67.77,22.88,2975.01,1222.6,87.07,HIGH
6.86,22.65,68.41,21.62,2989.9,1172.73,87.46,HIGH
6.9,22.4,67.74,20.86,2969.58,1168.06,87.76,HIGH
6.91,22.26,67.84,22.2,2978.09,1143.54,87.3,HIGH
6.91,22.62,68.1,22.58,2941.15,1171.28,87.46,HIGH
6.91,23.07,68.46,24.42,2909.78,1209.42,87.25,HIGH
6.92,23.5,68.51,22.87,2919.44,1120.23,88.07,HIGH
6.95,23.46,68.33,24.45,2966.45,1173.94,87.74,HIGH
6.92,23.3,68.39,24.94,2939.47,1174.3,87.29,HIGH
6.95,23.64,67.74,24.1,2969.28,1221.77,88.0,HIGH
6.99,23.92,68.72,23.05,2939.75,1153.9,88.76,HIGH
6.96,24.04,68.85,22.1,2916.3,1158.25,88.93,HIGH
7.0,23.65,68.77,23.19,2944.64,1146.39,88.59,HIGH
7.03,23.33,69.59,23.9,2937.67,1174.57,88.0,HIGH
7.06,23.63,69.01,25.32,2942.35,1141.74,87.55,HIGH
7.05,23.83,69.99,24.88,2948.01,1227.36,87.88,HIGH
7.01,23.56,69.57,25.57,2903.29,1135.29,87.74,HIGH
7.06,23.84,69.7,24.9,2952.83,1221.12,87.85,HIGH
7.06,24.18,69.18,26.17,2993.05,1221.42,87.68,HIGH
7.06,23.77,69.2,25.3,3000.0,1192.75,87.62,HIGH
7.03,24.06,69.05,26.31,3000.0,1248.49,87.78,HIGH
7.05,23.82,68.34,24.49,3000.0,1313.44,88.0,HIGH
7.04,23.41,68.77,23.77,2952.18,1224.43,87.96,HIGH
7.05,23.66,69.34,24.59,2945.92,1215.44,87.83,HIGH
7.1,23.77,68.59,26.27,2931.0,1130.35,87.08,HIGH
7.11,24.02,69.12,25.85,2891.77,1167.82,87.33,HIGH
7.08,23.84,69.66,24.54,2865.79,1141.51,87.83,HIGH
7.08,23.87,69.98,24.95,2870.68,1190.96,87.69,HIGH
7.06,23.7,70.35,26.88,2900.99,1198.67,87.15,HIGH
7.04,23.71,69.41,28.18,2868.63,1180.56,86.9,HIGH
7.07,24.1,69.13,26.96,2885.44,1128.82,87.33,HIGH
7.09,24.37,68.49,26.63,3000.0,1247.42,87.44,HIGH
7.11,23.99,67.84,28.45,3000.0,1213.52,86.55,HIGH
7.08,23.94,68.35,27.0,3000.0,1218.42,87.13,HIGH
7.08,23.7,68.82,28.39,2990.14,1199.8,86.52,HIGH
7.12,24.06,69.54,28.26,2998.67,1244.23,86.57,HIGH
7.08,23.83,68.71,30.08,2952.44,1225.47,86.14,HIGH
7.03,23.45,67.75,28.09,2932.43,1196.81,86.78,HIGH
7.0,23.55,67.04,26.65,2945.68,1153.16,87.47,HIGH
7.01,23.7,67.12,26.63,2919.2,1144.42,87.52,HIGH
7.02,23.99,67.61,25.95,2959.21,1188.38,87.86,HIGH
7.02,23.78,68.46,24.56,2947.87,1220.25,88.16,HIGH
7.01,23.85,68.29,26.01,3000.0,1256.8,87.81,HIGH
7.0,24.15,67.62,26.72,3000.0,1231.91,87.88,HIGH
6.99,24.63,67.69,28.3,3000.0,1208.49,87.66,HIGH
6.98,24.68,66.93,29.62,3000.0,1226.64,87.28,HIGH
7.01,25.11,67.34,30.6,2965.98,1136.82,87.34,HIGH
7.03,25.24,67.14,32.58,2969.83,1151.24,86.67,HIGH
7.01,25.07,66.76,31.93,2988.35,1209.09,86.9,HIGH
7.0,25.16,67.35,30.46,2946.63,1163.52,87.46,HIGH
